,"LATITUDE",,"LONGITUDE",,"10,2141871858","22,6078228947","16,9398861703","15,8754718179","697,2426572412","343,17573225"
"{ lat: ","36,61954",", lng:","4,08282","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"704,1493617091","307,1089026882"
"{ lat: ","36,75",", lng:","5,0833","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"704,1493617091","307,1089026882"
"{ lat: ","36,75",", lng:","5,0833","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"704,2820470232","382,8225994985"
"{ lat: ","36,7525",", lng:","3,04197","},",,,,,"704,2820470232","382,8225994985"
"{ lat: ","36,7525",", lng:","3,04197","},",,,,,"704,1493617091","307,1089026882"
"{ lat: ","36,75",", lng:","5,0833","},",,,,,"698,1999155616","301,5148476019"
"{ lat: ","36,63766",", lng:","5,24364","},",,,,,"704,1493617091","307,1089026882"
"{ lat: ","36,75",", lng:","5,0833","},",,,,,"693,4865510748","300,3373187906"
"{ lat: ","36,54832",", lng:","5,27758","},",,,,,"690,6516879771","300,3043922316"
"{ lat: ","36,49444",", lng:","5,27853","},",,,,,"702,0233274458","310,7887947038"
"{ lat: ","36,70991",", lng:","4,97862","},",,,,,"697,6134376751","298,3891031306"
"{ lat: ","36,62656",", lng:","5,33388","},",,,,,"699,9211431443","304,6167347382"
"{ lat: ","36,67021",", lng:","5,15455","},",,,,,"694,0196563373","314,8223135569"
"{ lat: ","36,55844",", lng:","4,86459","},",,,,,"697,0953231566","328,6404417877"
"{ lat: ","36,61675",", lng:","4,47938","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"702,509873189","332,3180571078"
"{ lat: ","36,71909",", lng:","4,37823","},",,,,,"683,867625926","334,2118855716"
"{ lat: ","36,36505",", lng:","4,32636","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"704,1493617091","307,1089026882"
"{ lat: ","36,75",", lng:","5,0833","},",,,,,"703,8691714042","332,5372129345"
"{ lat: ","36,74472",", lng:","4,37222","},",,,,,"697,8543393088","338,8980148519"
"{ lat: ","36,63112",", lng:","4,19864","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"694,4001194764","335,7621190013"
"{ lat: ","36,56566",", lng:","4,28401","},",,,,,"704,2820470232","382,8225994985"
"{ lat: ","36,7525",", lng:","3,04197","},",,,,,"697,2426572412","343,17573225"
"{ lat: ","36,61954",", lng:","4,08282","},",,,,,"692,7425481384","332,628397199"
"{ lat: ","36,53419",", lng:","4,36972","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"678,5953526375","426,0064171007"
"{ lat: ","36,26405",", lng:","1,9679","},",,,,,"674,8155855931","295,7857500662"
"{ lat: ","36,1914",", lng:","5,4094","},",,,,,"702,1250747078","344,5446103118"
"{ lat: ","36,71183",", lng:","4,04591","},",,,,,"704,2820470232","382,8225994985"
"{ lat: ","36,7525",", lng:","3,04197","},",,,,,"671,183157655","416,2980335492"
